order_id,payment_type,payment_installments,payment_value
ord_00065,cod,1,11110.68
ord_00066,cod,1,1168.21
ord_00067,upi,1,3605.96
ord_00068,upi,1,15257.13
ord_00069,upi,1,1083.89
ord_00070,upi,1,1901.76
ord_00071,wallet,1,1780.17
ord_00072,upi,1,1877.26
ord_00073,upi,1,10141.68
ord_00074,cod,1,2626.53
ord_00075,upi,1,14523.05
ord_00076,upi,1,10905.63
ord_00077,debit_card,1,1845.82
ord_00078,upi,1,2209.37
ord_00079,credit_card,6,7543.34
ord_00080,upi,1,984.06
ord_00081,cod,1,6407.8
ord_00082,wallet,1,5888.13
ord_00083,credit_card,2,8607.76
ord_00084,upi,1,17131.39
ord_00085,cod,1,2542.28
ord_00086,wallet,1,6443.4
ord_00087,credit_card,4,10187.66
ord_00088,credit_card,6,7445.22
ord_00089,credit_card,3,878.89
ord_00090,cod,1,1965.52
ord_00091,upi,1,15149.71
ord_00092,credit_card,4,10132.82
ord_00093,debit_card,1,1740.25
ord_00094,upi,1,4867.04
ord_00095,credit_card,4,1385.67
ord_00096,upi,1,1071.01
ord_00097,upi,1,12051.38
ord_00098,debit_card,1,13692.22
ord_00099,debit_card,1,3931.38
ord_00100,upi,1,543.05
ord_00101,debit_card,1,1801.06
ord_00102,credit_card,2,4232.86
ord_00103,cod,1,1707.94
ord_00104,cod,1,1724.95
ord_00105,debit_card,1,428.4
ord_00106,upi,1,1640.27
ord_00107,cod,1,1440.92
ord_00108,upi,1,3142.86
ord_00109,cod,1,1462.6
ord_00110,upi,1,11172.37
ord_00111,cod,1,9172.7
ord_00112,credit_card,5,17419.07
ord_00113,wallet,1,6119.18
ord_00114,upi,1,1301.1
ord_00115,wallet,1,2265.44
ord_00116,debit_card,1,2097.67
ord_00117,debit_card,1,522.81
ord_00118,credit_card,2,9370.8
ord_00119,cod,1,2185.17
ord_00120,upi,1,1174.73
ord_00121,upi,1,2508.86
ord_00122,credit_card,6,20113.63
ord_00123,upi,1,698.4
ord_00124,wallet,1,8533.82
ord_00125,credit_card,4,367.28
ord_00126,upi,1,8511.99
ord_00127,upi,1,1967.33
ord_00128,credit_card,5,9091.0
ord_00129,upi,1,382.78
ord_00130,cod,1,6298.36
ord_00131,cod,1,2104.75
ord_00132,debit_card,1,439.15
ord_00133,cod,1,831.46
ord_00134,cod,1,753.62
ord_00135,upi,1,7370.18
ord_00136,upi,1,689.61
ord_00137,credit_card,1,1212.83
ord_00138,debit_card,1,802.23
ord_00139,credit_card,4,1612.38
ord_00140,credit_card,3,4263.3
ord_00141,upi,1,5993.39
ord_00142,cod,1,1528.23
ord_00143,upi,1,5339.75
ord_00144,debit_card,1,1776.56
ord_00145,upi,1,8073.22
ord_00146,credit_card,3,20341.9
ord_00147,wallet,1,4483.63
ord_00148,credit_card,4,1660.76
ord_00149,credit_card,2,2532.65
ord_00150,credit_card,3,251.17
ord_00151,upi,1,1176.53
ord_00152,credit_card,1,2960.19
ord_00153,wallet,1,1957.78
ord_00154,upi,1,8358.73
ord_00155,credit_card,2,5509.02
ord_00156,cod,1,479.72
ord_00157,debit_card,1,1520.43
ord_00158,upi,1,2515.55
ord_00159,upi,1,280.28
ord_00160,credit_card,6,22632.89
ord_00161,debit_card,1,974.72
ord_00162,cod,1,2467.8
ord_00163,upi,1,859.53
ord_00164,wallet,1,1903.37
ord_00165,credit_card,5,1366.55
ord_00166,wallet,1,2301.16
ord_00167,upi,1,2106.35
ord_00168,wallet,1,292.41
ord_00169,credit_card,2,690.47
ord_00170,upi,1,12036.74
ord_00171,credit_card,3,6713.83
ord_00172,wallet,1,1781.16
ord_00173,cod,1,3258.2
ord_00174,upi,1,1360.44
ord_00175,upi,1,3754.05
ord_00176,credit_card,4,422.94
ord_00177,credit_card,6,7490.21
ord_00178,credit_card,6,4691.04
ord_00179,credit_card,6,8938.26
ord_00180,debit_card,1,828.09
ord_00181,upi,1,3014.92
ord_00182,upi,1,975.26
ord_00183,credit_card,1,9872.79
ord_00184,wallet,1,24230.83
ord_00185,upi,1,7077.86
ord_00186,credit_card,6,7600.06
ord_00187,credit_card,4,3587.35
ord_00188,credit_card,4,1573.61
ord_00189,cod,1,6674.6
ord_00190,upi,1,1568.67
ord_00191,upi,1,14517.81
ord_00192,upi,1,1471.81
ord_00193,upi,1,389.48
ord_00194,credit_card,2,13041.86
ord_00195,credit_card,3,786.52
ord_00196,upi,1,3071.76
ord_00197,debit_card,1,9383.97
ord_00198,debit_card,1,2531.58
ord_00199,credit_card,5,510.86
ord_00200,credit_card,5,8121.42
ord_00201,wallet,1,3298.18
ord_00202,credit_card,4,11258.34
ord_00203,credit_card,5,5785.83
ord_00204,credit_card,4,2559.77
ord_00205,credit_card,3,3901.54
ord_00206,cod,1,1400.14
ord_00207,credit_card,1,1011.58
ord_00208,upi,1,2207.21
ord_00209,upi,1,12582.42
ord_00210,upi,1,765.92
ord_00211,upi,1,5971.33
ord_00212,credit_card,3,1171.71
ord_00213,upi,1,699.92
ord_00214,credit_card,1,2771.2
ord_00215,upi,1,2652.13
ord_00216,upi,1,2195.17
ord_00217,upi,1,9311.54
ord_00218,credit_card,4,12397.59
ord_00219,cod,1,7074.92
ord_00220,debit_card,1,923.69
ord_00221,upi,1,6882.56
ord_00222,upi,1,811.29
ord_00223,credit_card,3,1800.95
ord_00224,credit_card,4,9524.79
ord_00225,upi,1,8090.58
ord_00226,debit_card,1,1380.42
ord_00227,credit_card,4,581.68
ord_00228,credit_card,6,367.29
ord_00229,cod,1,2260.72
ord_00230,upi,1,3328.17
ord_00231,credit_card,6,2781.67
ord_00232,upi,1,4561.97
ord_00233,upi,1,13451.67
ord_00234,upi,1,6051.89
ord_00235,credit_card,6,2382.16
ord_00236,upi,1,14715.62
ord_00237,debit_card,1,8507.55
ord_00238,upi,1,1174.88
ord_00239,debit_card,1,9861.8
ord_00240,upi,1,2492.52
ord_00241,credit_card,6,2161.72
ord_00242,credit_card,3,9466.09
ord_00243,upi,1,849.26
ord_00244,debit_card,1,11675.2
ord_00245,credit_card,6,6503.41
ord_00246,credit_card,6,1108.22
ord_00247,upi,1,9204.21
ord_00248,credit_card,4,1084.69
ord_00249,upi,1,14592.64
ord_00250,upi,1,2983.01
ord_00251,credit_card,4,698.66
ord_00252,credit_card,6,2595.29
ord_00253,wallet,1,5512.57
ord_00254,credit_card,4,415.61
ord_00255,credit_card,6,5675.74
ord_00256,cod,1,4269.55
ord_00257,wallet,1,1556.58
ord_00258,credit_card,1,1209.28
ord_00259,debit_card,1,7881.67
ord_00260,upi,1,587.78
ord_00261,upi,1,2233.37
ord_00262,upi,1,1312.31
ord_00263,upi,1,8007.0
ord_00264,debit_card,1,2200.01
ord_00265,upi,1,1213.12
ord_00266,credit_card,1,10572.23
ord_00267,upi,1,9479.01
ord_00268,debit_card,1,13337.82
ord_00269,credit_card,1,2664.0
ord_00270,wallet,1,4914.7
ord_00271,upi,1,532.09
ord_00272,credit_card,3,8314.27
ord_00273,wallet,1,13207.47
ord_00274,cod,1,7166.13
ord_00275,upi,1,18595.82
ord_00276,upi,1,10200.53
ord_00277,credit_card,3,1707.37
ord_00278,wallet,1,14540.59
ord_00279,credit_card,4,5470.38
ord_00280,debit_card,1,463.45
ord_00281,wallet,1,5542.61
ord_00282,credit_card,3,7643.44
ord_00283,upi,1,7755.69
ord_00284,credit_card,1,12005.27
ord_00285,upi,1,914.97
ord_00286,upi,1,7936.46
ord_00287,credit_card,5,796.84
ord_00288,debit_card,1,2552.16
ord_00289,cod,1,507.19
ord_00290,cod,1,15339.21
ord_00291,debit_card,1,7819.04
ord_00292,upi,1,674.7
ord_00293,upi,1,10041.16
ord_00294,upi,1,2514.02
ord_00295,debit_card,1,8593.1
ord_00296,upi,1,1307.0
ord_00297,cod,1,3936.84
ord_00298,upi,1,7150.07
ord_00299,credit_card,5,11733.71
ord_00300,credit_card,1,218.14
ord_00301,credit_card,6,2439.24
ord_00302,wallet,1,2533.85
ord_00303,credit_card,6,1282.92
ord_00304,upi,1,2553.92
ord_00305,upi,1,11367.45
ord_00306,credit_card,3,547.31
ord_00307,wallet,1,460.97
ord_00308,credit_card,3,699.81
ord_00309,credit_card,4,13047.73
ord_00310,debit_card,1,5974.24
ord_00311,upi,1,8081.24
ord_00312,cod,1,1948.85
ord_00313,upi,1,559.31
ord_00314,cod,1,4238.21
ord_00315,upi,1,1513.83
ord_00316,upi,1,7170.07
ord_00317,upi,1,3268.8
ord_00318,cod,1,8719.66
ord_00319,wallet,1,1016.95
ord_00320,credit_card,2,549.3
ord_00321,credit_card,3,389.03
ord_00322,upi,1,4942.31
ord_00323,debit_card,1,1671.71
ord_00324,cod,1,481.69
ord_00325,credit_card,5,9522.82
ord_00326,credit_card,6,1436.63
ord_00327,wallet,1,13617.14
ord_00328,upi,1,487.07
ord_00329,upi,1,8905.88
ord_00330,upi,1,3429.88
ord_00331,credit_card,1,925.33
ord_00332,upi,1,1442.55
ord_00333,debit_card,1,2265.47
ord_00334,credit_card,5,2312.56
ord_00335,credit_card,5,4498.08
ord_00336,credit_card,1,4548.39
ord_00337,credit_card,4,4962.04
ord_00338,credit_card,2,1721.6
ord_00339,credit_card,1,3259.16
ord_00340,cod,1,1646.5
ord_00341,upi,1,480.26
ord_00342,cod,1,3786.8
ord_00343,upi,1,1448.81
ord_00344,debit_card,1,6899.41
ord_00345,credit_card,3,3015.4
ord_00346,credit_card,4,12286.44
ord_00347,cod,1,15570.64
ord_00348,credit_card,5,5386.62
ord_00349,upi,1,3291.71
ord_00350,credit_card,3,572.45
ord_00351,upi,1,2824.04
ord_00352,upi,1,10723.53
ord_00353,upi,1,3513.13
ord_00354,upi,1,8297.66
ord_00355,credit_card,4,565.42
ord_00356,cod,1,8137.22
ord_00357,wallet,1,2365.7
ord_00358,wallet,1,7555.09
ord_00359,upi,1,12443.66
ord_00360,upi,1,989.75
ord_00361,wallet,1,715.39
ord_00362,debit_card,1,1956.78
ord_00363,cod,1,4827.8
ord_00364,cod,1,1354.34
ord_00365,cod,1,11682.37
ord_00366,credit_card,5,965.17
ord_00367,credit_card,1,542.0
ord_00368,wallet,1,1277.41
ord_00369,debit_card,1,1865.36
ord_00370,debit_card,1,2188.12
ord_00371,upi,1,14174.25
ord_00372,debit_card,1,453.17
ord_00373,wallet,1,655.84
ord_00374,upi,1,5406.07
ord_00375,credit_card,4,14103.81
ord_00376,upi,1,7510.61
ord_00377,upi,1,8771.35
ord_00378,credit_card,4,1084.51
ord_00379,debit_card,1,748.82
ord_00380,credit_card,4,6457.75
ord_00381,wallet,1,5642.09
ord_00382,credit_card,5,4191.94
ord_00383,upi,1,1884.62
ord_00384,cod,1,3165.67
ord_00385,debit_card,1,562.37
ord_00386,wallet,1,5551.08
ord_00387,wallet,1,2905.71
ord_00388,upi,1,932.04
ord_00389,credit_card,2,449.99
ord_00390,upi,1,232.42
ord_00391,debit_card,1,8407.48
ord_00392,upi,1,17967.67
ord_00393,credit_card,4,10293.76
ord_00394,upi,1,819.68
ord_00395,upi,1,465.58
ord_00396,credit_card,4,4136.78
ord_00397,cod,1,990.94
ord_00398,wallet,1,2699.92
ord_00399,upi,1,1279.3
ord_00400,upi,1,170.95
ord_00401,upi,1,1196.77
ord_00402,debit_card,1,2934.48
ord_00403,wallet,1,2391.06
ord_00404,credit_card,5,3255.11
ord_00405,credit_card,5,2751.8
ord_00406,cod,1,2952.88
ord_00407,debit_card,1,1617.8
ord_00408,credit_card,6,673.77
ord_00409,credit_card,3,1473.17
ord_00410,credit_card,6,7616.71
ord_00411,credit_card,6,17282.85
ord_00412,credit_card,4,543.61
ord_00413,upi,1,397.44
ord_00414,upi,1,1360.7
ord_00415,credit_card,4,368.23
ord_00416,wallet,1,7347.46
ord_00417,cod,1,3831.07
ord_00418,debit_card,1,481.84
ord_00419,upi,1,3053.25
ord_00420,upi,1,6828.3
ord_00421,upi,1,2159.81
ord_00422,debit_card,1,12622.73
ord_00423,upi,1,2806.55
ord_00424,wallet,1,7156.52
ord_00425,upi,1,2099.94
ord_00426,credit_card,5,8193.77
ord_00427,upi,1,2893.82
ord_00428,cod,1,9579.0
ord_00429,upi,1,8587.21
ord_00430,credit_card,2,1472.77
ord_00431,debit_card,1,3231.35
ord_00432,credit_card,6,2313.04
ord_00433,cod,1,4685.24
ord_00434,credit_card,4,7178.12
ord_00435,upi,1,7917.25
ord_00436,debit_card,1,752.46
ord_00437,debit_card,1,5029.05
ord_00438,credit_card,6,10619.16
ord_00439,upi,1,2997.09
ord_00440,credit_card,5,16081.74
ord_00441,wallet,1,1005.82
ord_00442,debit_card,1,2272.38
ord_00443,credit_card,5,438.96
ord_00444,debit_card,1,1298.32
ord_00445,cod,1,7468.95
ord_00446,credit_card,1,8512.82
ord_00447,wallet,1,11811.27
ord_00448,credit_card,3,2054.13
ord_00449,credit_card,6,1191.77
ord_00450,credit_card,3,1878.96
ord_00451,credit_card,5,4883.78
ord_00452,upi,1,1658.0
ord_00453,upi,1,7058.26
ord_00454,upi,1,3806.9
ord_00455,credit_card,2,301.03
ord_00456,upi,1,2360.3
ord_00457,upi,1,8028.34
ord_00458,credit_card,5,1210.23
ord_00459,credit_card,6,3268.34
ord_00460,cod,1,1199.59
ord_00461,credit_card,3,3867.27
ord_00462,credit_card,6,15319.18
ord_00463,upi,1,508.79
ord_00464,upi,1,783.75
ord_00465,upi,1,3934.75
ord_00466,debit_card,1,1008.68
ord_00467,upi,1,637.35
ord_00468,credit_card,6,1937.27
ord_00469,upi,1,10206.74
ord_00470,cod,1,8641.9
ord_00471,upi,1,6459.37
ord_00472,upi,1,1012.82
ord_00473,upi,1,2632.48
ord_00474,cod,1,11558.49
ord_00475,debit_card,1,18605.68
ord_00476,cod,1,1737.31
ord_00477,credit_card,3,5638.48
ord_00478,debit_card,1,1950.22
ord_00479,wallet,1,8775.91
ord_00480,wallet,1,2727.26
ord_00481,credit_card,1,6430.75
ord_00482,cod,1,2503.91
ord_00483,credit_card,4,14352.69
ord_00484,upi,1,1342.84
ord_00485,credit_card,3,6700.88
ord_00486,wallet,1,787.5
ord_00487,credit_card,5,1018.86
ord_00488,debit_card,1,738.2
ord_00489,credit_card,2,8490.1
ord_00490,upi,1,1546.48
ord_00491,upi,1,1681.6
ord_00492,credit_card,1,10824.57
ord_00493,debit_card,1,1904.19
ord_00494,upi,1,3822.36
ord_00495,credit_card,3,8835.6
ord_00496,cod,1,1335.51
ord_00497,upi,1,6119.24
ord_00498,upi,1,1785.46
ord_00499,upi,1,6417.58
ord_00500,upi,1,832.14
ord_00501,upi,1,6131.31
ord_00502,wallet,1,2155.94
ord_00503,cod,1,1103.63
ord_00504,wallet,1,21523.73
ord_00505,cod,1,1919.96
ord_00506,upi,1,1350.53
ord_00507,credit_card,2,1946.36
ord_00508,credit_card,3,1692.61
ord_00509,cod,1,791.45
ord_00510,upi,1,5716.76
ord_00511,credit_card,3,1280.39
ord_00512,cod,1,4644.69
ord_00513,cod,1,3180.83
ord_00514,debit_card,1,757.98
ord_00515,credit_card,5,9236.93
ord_00516,debit_card,1,4630.36
ord_00517,credit_card,6,9837.29
ord_00518,credit_card,1,2020.03
ord_00519,wallet,1,1662.37
ord_00520,upi,1,1589.14
ord_00521,upi,1,9704.54
ord_00522,wallet,1,746.11
ord_00523,upi,1,1639.77
ord_00524,upi,1,9488.18
ord_00525,upi,1,809.15
ord_00526,wallet,1,8264.98
ord_00527,wallet,1,1167.23
ord_00528,upi,1,11739.88
ord_00529,debit_card,1,1470.09
ord_00530,credit_card,5,1195.85
ord_00531,credit_card,2,1946.85
ord_00532,debit_card,1,6626.82
ord_00533,credit_card,3,20328.28
ord_00534,credit_card,2,2123.0
ord_00535,credit_card,6,5265.78
ord_00536,credit_card,1,7575.81
ord_00537,credit_card,5,360.74
ord_00538,upi,1,15698.34
ord_00539,upi,1,1423.54
ord_00540,credit_card,1,1512.46
ord_00541,credit_card,5,7490.29
ord_00542,credit_card,5,1743.54
ord_00543,wallet,1,1526.87
ord_00544,credit_card,5,8229.89
ord_00545,upi,1,6814.82
ord_00546,credit_card,5,15059.44
ord_00547,upi,1,6863.91
ord_00548,cod,1,3102.76
ord_00549,credit_card,5,10476.39
ord_00550,upi,1,1121.46
ord_00551,upi,1,4686.52
ord_00552,upi,1,948.96
ord_00553,cod,1,1660.25
ord_00554,upi,1,2343.79
ord_00555,debit_card,1,373.23
ord_00556,wallet,1,5259.06
ord_00557,cod,1,484.43
ord_00558,cod,1,1249.27
ord_00559,credit_card,5,411.07
ord_00560,cod,1,2646.63
ord_00561,credit_card,6,2217.23
ord_00562,upi,1,1855.95
ord_00563,credit_card,4,832.05
ord_00564,upi,1,1647.84
ord_00565,credit_card,2,8082.58
ord_00566,upi,1,1752.22
ord_00567,cod,1,3902.31
ord_00568,upi,1,242.48
ord_00569,wallet,1,1377.68
ord_00570,cod,1,3081.74
ord_00571,debit_card,1,3777.55
ord_00572,credit_card,4,6019.23
ord_00573,cod,1,7842.21
ord_00574,credit_card,6,8379.46
ord_00575,upi,1,15255.95
ord_00576,upi,1,2206.04
ord_00577,upi,1,20081.01
ord_00578,upi,1,2442.73
ord_00579,credit_card,2,5042.61
ord_00580,upi,1,3665.85
ord_00581,credit_card,1,1139.13
ord_00582,upi,1,6997.98
ord_00583,cod,1,1458.73
ord_00584,credit_card,6,5730.5
ord_00585,upi,1,1376.26
ord_00586,credit_card,1,859.68
ord_00587,wallet,1,8682.55
ord_00588,upi,1,800.21
ord_00589,debit_card,1,510.29
ord_00590,upi,1,6064.81
ord_00591,cod,1,489.52
ord_00592,upi,1,2129.26
ord_00593,upi,1,345.3
ord_00594,cod,1,1555.45
ord_00595,upi,1,6130.11
ord_00596,upi,1,1848.28
ord_00597,credit_card,4,662.5
ord_00598,cod,1,2168.02
ord_00599,credit_card,1,9061.53
ord_00600,cod,1,2187.21
ord_00601,upi,1,5687.89
ord_00602,cod,1,5562.05
ord_00603,cod,1,11540.76
ord_00604,credit_card,4,9368.18
ord_00605,credit_card,5,10847.84
ord_00606,cod,1,7058.14
ord_00607,wallet,1,15795.65
ord_00608,wallet,1,7625.03
ord_00609,credit_card,4,3044.48
ord_00610,debit_card,1,12248.54
ord_00611,credit_card,4,1860.93
ord_00612,upi,1,9876.56
ord_00613,debit_card,1,2254.72
ord_00614,upi,1,5404.67
ord_00615,credit_card,4,17928.13
ord_00616,debit_card,1,1533.67
ord_00617,wallet,1,1888.23
ord_00618,upi,1,6403.89
ord_00619,upi,1,2049.5
ord_00620,credit_card,2,7568.28
ord_00621,credit_card,2,9102.23
ord_00622,credit_card,2,161.32
ord_00623,credit_card,1,12423.71
ord_00624,cod,1,7752.42
ord_00625,credit_card,3,2512.98
ord_00626,wallet,1,2275.39
ord_00627,upi,1,1598.36
ord_00628,upi,1,6005.38
ord_00629,wallet,1,3464.14
ord_00630,upi,1,10177.21
ord_00631,upi,1,2261.71
ord_00632,upi,1,6282.65
ord_00633,credit_card,4,1410.19
ord_00634,wallet,1,2758.37
ord_00635,credit_card,5,6743.36
ord_00636,debit_card,1,15313.53
ord_00637,upi,1,9647.23
ord_00638,upi,1,3982.67
ord_00639,upi,1,940.88
ord_00640,upi,1,2077.63
ord_00641,credit_card,5,753.7
ord_00642,credit_card,2,581.33
ord_00643,upi,1,6313.7
ord_00644,wallet,1,4826.74
ord_00645,credit_card,3,1248.56
ord_00646,upi,1,800.44
ord_00647,credit_card,2,6845.11
ord_00648,credit_card,1,4568.34
ord_00649,credit_card,2,542.34
ord_00650,upi,1,392.3
ord_00651,upi,1,7322.3
ord_00652,credit_card,4,1899.09
ord_00653,upi,1,16720.14
ord_00654,upi,1,863.82
ord_00655,wallet,1,5146.31
ord_00656,debit_card,1,3560.79
ord_00657,cod,1,12353.42
ord_00658,upi,1,388.55
ord_00659,credit_card,4,967.79
ord_00660,upi,1,5743.61
ord_00661,upi,1,1166.25
ord_00662,credit_card,4,1753.68
ord_00663,upi,1,9108.11
ord_00664,cod,1,685.7
ord_00665,credit_card,3,2486.12
ord_00666,credit_card,6,653.66
ord_00667,upi,1,586.68
ord_00668,upi,1,13845.13
ord_00669,upi,1,9138.2
ord_00670,upi,1,12058.35
ord_00671,cod,1,5130.41
ord_00672,wallet,1,4949.14
ord_00673,credit_card,2,7924.71
ord_00674,upi,1,1229.57
ord_00675,credit_card,6,8912.1
ord_00676,debit_card,1,21868.52
ord_00677,upi,1,6717.28
ord_00678,credit_card,5,10656.45
ord_00679,upi,1,1098.62
ord_00680,debit_card,1,955.51
ord_00681,upi,1,3238.24
ord_00682,cod,1,2792.98
ord_00683,upi,1,6813.18
ord_00684,upi,1,14938.48
ord_00685,upi,1,10091.09
ord_00686,credit_card,1,1277.87
ord_00687,cod,1,599.65
ord_00688,credit_card,4,4395.02
ord_00689,upi,1,307.83
ord_00690,credit_card,6,487.41
ord_00691,upi,1,584.5
ord_00692,credit_card,1,7265.14
ord_00693,cod,1,3416.85
ord_00694,debit_card,1,7909.44
ord_00695,credit_card,3,832.0
ord_00696,upi,1,6065.81
ord_00697,upi,1,1497.47
ord_00698,cod,1,1714.78
ord_00699,wallet,1,988.37
ord_00700,credit_card,5,1237.74
ord_00701,wallet,1,9611.55
ord_00702,upi,1,1332.22
ord_00703,credit_card,3,1276.58
ord_00704,credit_card,6,5772.32
ord_00705,credit_card,6,9098.8
ord_00706,credit_card,5,2431.43
ord_00707,cod,1,1852.26
ord_00708,credit_card,3,3950.97
ord_00709,upi,1,25415.55
ord_00710,cod,1,3520.67
ord_00711,upi,1,6936.13
ord_00712,upi,1,3115.96
ord_00713,upi,1,883.41
ord_00714,upi,1,7692.07
ord_00715,credit_card,2,549.99
ord_00716,credit_card,3,715.61
ord_00717,upi,1,7098.31
ord_00718,credit_card,6,2948.6
ord_00719,wallet,1,8789.36
ord_00720,credit_card,1,2223.7
ord_00721,credit_card,2,6019.45
ord_00722,upi,1,9790.57
ord_00723,upi,1,7087.27
ord_00724,upi,1,5564.52
ord_00725,debit_card,1,10095.23
ord_00726,upi,1,961.04
ord_00727,cod,1,865.82
ord_00728,upi,1,11458.68
ord_00729,credit_card,4,660.85
ord_00730,debit_card,1,2035.06
ord_00731,upi,1,1681.46
ord_00732,wallet,1,4240.29
ord_00733,cod,1,10855.25
ord_00734,debit_card,1,7108.13
ord_00735,upi,1,7659.86
ord_00736,upi,1,1483.07
ord_00737,upi,1,1503.78
ord_00738,debit_card,1,797.71
ord_00739,credit_card,4,1431.12
ord_00740,upi,1,3510.6
ord_00741,upi,1,1196.65
ord_00742,debit_card,1,9767.85
ord_00743,upi,1,1450.06
ord_00744,cod,1,17084.3
ord_00745,credit_card,4,1113.75
ord_00746,wallet,1,1512.58
ord_00747,debit_card,1,5389.45
ord_00748,upi,1,1721.87
ord_00749,credit_card,6,495.33
ord_00750,credit_card,4,6958.89
ord_00751,debit_card,1,1190.07
ord_00752,credit_card,2,3235.77
ord_00753,debit_card,1,21054.45
ord_00754,credit_card,4,8731.15
ord_00755,debit_card,1,3135.53
ord_00756,upi,1,1581.73
ord_00757,upi,1,11596.61
ord_00758,upi,1,805.7
ord_00759,upi,1,831.77
ord_00760,wallet,1,744.48
ord_00761,upi,1,1983.53
ord_00762,credit_card,4,6413.11
ord_00763,credit_card,5,1680.83
ord_00764,debit_card,1,1090.08
ord_00765,wallet,1,9836.1
ord_00766,upi,1,9194.56
ord_00767,debit_card,1,3307.97
ord_00768,credit_card,5,1076.97
ord_00769,credit_card,1,426.05
ord_00770,wallet,1,12387.09
ord_00771,cod,1,6861.28
ord_00772,credit_card,2,13546.12
ord_00773,credit_card,1,649.42
ord_00774,cod,1,2407.48
ord_00775,credit_card,3,7058.04
ord_00776,upi,1,7043.91
ord_00777,upi,1,18369.74
ord_00778,credit_card,4,14588.69
ord_00779,wallet,1,464.97
ord_00780,credit_card,3,264.35
ord_00781,credit_card,2,5952.66
ord_00782,upi,1,12418.82
ord_00783,wallet,1,14276.15
ord_00784,credit_card,6,2976.72
ord_00785,credit_card,3,10139.77
ord_00786,cod,1,1171.79
ord_00787,upi,1,11098.21
ord_00788,credit_card,5,15324.23
ord_00789,credit_card,2,1278.73
ord_00790,wallet,1,15906.58
ord_00791,credit_card,6,2281.47
ord_00792,upi,1,6197.34
ord_00793,upi,1,3123.69
ord_00794,upi,1,663.42
ord_00795,upi,1,587.36
ord_00796,debit_card,1,455.68
ord_00797,wallet,1,917.1
ord_00798,upi,1,7712.15
ord_00799,credit_card,1,6323.4
ord_00800,credit_card,4,466.16
ord_00801,upi,1,2610.59
ord_00802,upi,1,1284.24
ord_00803,wallet,1,4712.59
ord_00804,cod,1,14546.13
ord_00805,debit_card,1,6673.75
ord_00806,cod,1,1512.57
ord_00807,upi,1,12221.09
ord_00808,cod,1,2930.2
ord_00809,upi,1,3718.3
ord_00810,upi,1,2086.87
ord_00811,upi,1,8628.61
ord_00812,upi,1,665.02
ord_00813,credit_card,6,8319.88
ord_00814,upi,1,500.18
ord_00815,debit_card,1,1778.96
ord_00816,credit_card,1,3462.41
ord_00817,wallet,1,1319.05
ord_00818,credit_card,4,4021.51
ord_00819,credit_card,3,701.09
ord_00820,debit_card,1,16336.11
ord_00821,upi,1,10448.74
ord_00822,credit_card,5,3522.06
ord_00823,credit_card,3,1112.51
ord_00824,debit_card,1,3765.53
ord_00825,upi,1,6059.18
ord_00826,credit_card,5,3379.96
ord_00827,upi,1,12967.54
ord_00828,upi,1,1353.63
ord_00829,upi,1,1218.44
ord_00830,wallet,1,2222.72
ord_00831,credit_card,3,836.43
ord_00832,cod,1,5395.16
