seller_id,seller_city,seller_region,seller_tier,onboarded_date
sell_00140,Chennai,South,bronze,2025-10-03
sell_00141,Kolkata,East,bronze,2024-01-29
sell_00142,Ahmedabad,West,bronze,2025-06-24
sell_00143,Delhi,North,bronze,2024-07-09
sell_00144,Hyderabad,South,silver,2024-05-21
sell_00145,Lucknow,North,bronze,2025-08-27
sell_00146,Hyderabad,South,bronze,2024-12-06
sell_00147,Mumbai,West,gold,2023-08-10
sell_00148,Bengaluru,South,silver,2023-09-24
sell_00149,Kolkata,East,gold,2024-11-08
sell_00150,Chandigarh,North,silver,2022-11-29
sell_00151,Raipur,Central,silver,2023-05-09
sell_00152,Ahmedabad,West,silver,2023-02-14
sell_00153,Guwahati,East,gold,2024-12-29
sell_00154,Ahmedabad,West,silver,2024-03-13
sell_00155,Delhi,North,gold,2022-12-09
sell_00156,Ahmedabad,West,bronze,2025-01-28
sell_00157,Mumbai,West,bronze,2024-10-28
sell_00158,Lucknow,North,bronze,2025-01-03
sell_00159,Raipur,Central,silver,2023-05-20
sell_00160,Lucknow,North,silver,2025-06-20
sell_00161,Bhubaneswar,East,bronze,2023-06-07
sell_00162,Chandigarh,North,gold,2024-07-29
sell_00163,Pune,West,bronze,2024-07-17
sell_00164,Chandigarh,North,bronze,2023-07-19
sell_00165,Chandigarh,North,silver,2024-01-02
sell_00166,Chennai,South,gold,2023-01-21
sell_00167,Bhopal,Central,gold,2024-04-14
sell_00168,Chennai,South,silver,2024-11-20
sell_00169,Guwahati,East,silver,2023-10-23
sell_00170,Guwahati,East,bronze,2024-06-24
sell_00171,Mumbai,West,silver,2025-09-12
sell_00172,Bengaluru,South,silver,2023-08-05
sell_00173,Bhubaneswar,East,silver,2023-10-04
sell_00174,Raipur,Central,silver,2023-04-04
sell_00175,Bengaluru,South,gold,2024-06-28
sell_00176,Bengaluru,South,bronze,2023-07-03
sell_00177,Bhopal,Central,silver,2025-05-29
sell_00178,Bengaluru,South,bronze,2023-10-04
sell_00179,Bengaluru,South,silver,2024-11-06
